author
"Moran, Brian P."
"Sodha, Meera"
"Suleyman, Mustafa"
"Zamyatin, Yevgeny"
"Grant, Adam M. *"
"Yathay, Pin"
"Ratner, Vaddey *"
Dalai Lama XIV
"Hultkrans, Andrew"
"Marx, Karl"
"Brady, Fern *"
"Jackson, Phil"
"Gaiman, Neil *"
"Pratchett, Terry"
"Stewart, Rory"
"Vonnegut Jr., Kurt"
"Geldof, Bob"
"Kennedy, John *"
"Pessoa, Fernando"
"Ehrmann, Max"
"Miliband, Ed"
"Pullinger, Jackie"
"Ancelotti, Carlo"
"Clarke, Susanna"
Cao Xueqin
"Dixon, Dougal"
"Simon, Herbert A."
"Klein, Gary"
"Taleb, Nassim Nicholas *"
Dōgen
"Nwonka, Clive"
"Campbell, Alastair"
"Graham, Ian *"
"Inglis, Sam"
"Bray, Ken"
"Williamson, Edwin"
"Bruce, Steve R."
"Theroux, Louis"
"Pascoe, Sara"
"Nelson, Maggie"
"Ott, Chris"
"Osman, Richard"
"Scott, James C."
"Nolan, David"
"Ferguson, Robert"
Voltaire
"Foley, Michael"
"Frank, Anne"
"Rushdie, Salman"
"Àbíké-Íyímídé, Faridah *"
"Akbar, Kaveh"
"Wix, Katy"
Thich Nhat Hanh
"Abdullah, Teme *"
"Locke, John"
Ryokan
"Kolbert, Elizabeth *"
"Cooper, Kim *"
"Bausum, Ann *"
"Carter, Angela"
"Bockris, Victor"
"Wang, Phil"
"McNeil, Legs"
"Ronson, Jon"
"LLC, Books"
"Wallace, David Foster"
Sanmao
"Woolf, Virginia"
"García Márquez, Gabriel"
"Abdurraqib, Hanif"
"Condé, Maryse"
"Kurzweil, Ray"
"Knox, Robert"
"Dostoevsky, Fyodor"
"Thoreau, Henry David"
"Ondaatje, Michael"
"Munaweera, Nayomi *"
"Dick, Philip K."
"Waines, A.J. *"
"Ryan, Katherine"
"L'Engle, Madeleine"
"jois, K. Pattabhi"
"Gogol, Nikolai"
"Tolstoy, Leo"
"Sade, Marquis de"
"Sanderson, Brandon *"
"Alderton, Dolly"
"Peikoff, Kira *"
"Gregory, Dick"
"Simpson, Aden *"
"Montaigne, Michel de"
"Lessing, Doris"
"Nelson, Caleb Azumah"
"Cunk, Philomena"
"Christgau, Robert"
"Burton, Jessie"
"Baker, Stuart"
"Ortiz, Paul"
"Bloomfield, Steve"
"Gibran, Kahlil"
"Sanders, Lou"
"Wiseman, Richard"
"Leid, Josanne"
"Kapur, Kamla K. *"
"Jung, Carl"
"Sandburg, Carl"
"Mungo, Raymond"
"Santlofer, Jonathan"
"Keegan, Claire"
"Kawaguchi, Toshikazu"
"Owusu, Derek"
"Lesser, Beth"
"Foucault, Michel"
"Floras-Lopez, Isabella"
"Williams, Eric"
"Totman, Richard"
"Binge, Nicholas *"
BookRags
"Buford, Bill"
"Acemoğlu, Daron"
"Naipaul, V.S."
"Lovelace, Earl"
"Selvon, Sam"
"Nanda, Serena"
"Warms, Serena Nanda;Richard L."
"Brown, Louise"
"Wood, W.A.R."
"Tedder, Michael *"
"Haraway, Donna J."
"Eliot, George"
"Shire, Warsan *"
"Lovelock, James E."
"Itō, Hiromi"
"O'Malley, Bryan Lee"
"Booth, Stanley"
"Rebennack, Malcolm John ""Mac"""
"Guralnick, Peter"
"Gordon, Robert"
"Morton, Oliver *"
"Penman, Ian"
"Čapek, Karel"
"Singer, Michael A. *"
"Yamada, Taichi"
"Asimov, Isaac"
"Keyes, Daniel"
"Atwood, Margaret *"
"Kwakye, Chelsea"
"Hall, Stuart"
"Gurganus, Allan"
"Richards, Joel"
"Dickens, Charles"
"O'Hanlon, Ryan"
"Galeano, Eduardo"
"Smyth, Rob"
"Peake, Mervyn"
"Wells, H.G."
"Moshfegh, Ottessa"
"Shanahan, Charif *"
"Page, Elliot"
"Rechy, John"
"Jay, Paul"
"Vidal, Gore"
"Odenkirk, Bob *"
"Yat-Sen, Sun"
"Jackson, Michael"
"Dean, Will"
"Fink, Joseph *"
"Lovecraft, H.P."
"Poe, Edgar Allan"
"Yoshino, Genzaburo"
"Kaling, Mindy *"
"Tartt, Donna"
"Clarke, Arthur C."
"Irving, Washington"
"White, Corey"
"Rothfuss, Patrick *"
"Burgess, Anthony"
"Donoghue, Emma *"
"Le Guin, Ursula K."
"Jackson, Shirley"
"Verne, Jules"
"Stallworth, Ron"
"Bailey, Chris *"
Sohn Won-Pyung
"Sunim, Haemin"
"Baek, Se-hee"
"Park, Sang Young"
"Bryson, Bill"
"DeLillo, Don"
"Guevara, Ernesto Che"
"Brontë, Emily"
"Updike, John"
"Salinger, J.D."
"Saunders, George"
"Clark, Sadie"
"Zevin, Gabrielle *"
"Delaney, Rob *"
Alcoholics Anonymous
"Goldman, William"
"McCurdy, Jennette"
"Chang, David *"
"Fitzgerald, F. Scott"
"Choi, Tom"
"Turgenev, Ivan"
"Lerner, Ben"
"Preston, Douglas *"
"Mulvey, Laura"
"Mast, Gerald"
"Smith, Rory"
"Clear, James *"
"Kimberley, Mathew"
"Acaster, James"
"Zauner, Michelle"
"Chow, Vann *"
"McPhee, John"
"Orwell, George"
"Marron, Dylan *"
"Wilde, Oscar"
"Saint-Exupéry, Antoine de"
"Golding, William"
"Steinbeck, John"
"Stevenson, Robert Louis"
"Huxley, Aldous"
"Hemingway, Ernest"
"Schultz, Philip"
"Campbell, Ramsey"
Anonymous
"Rhodes, Mark"
"Matheson, Richard"
"Leiber, Fritz"
"Bloch, Robert"
"Komunyakaa, Yusef"
Marcus Aurelius
"Robertson, Donald J. *"
"Joyce, James"
"Deng, Ming-Dao"
"Frankl, Viktor E."
"Rowling, J.K."
"Doyle, Arthur Conan"
"Gilmore, Mikal"
"Toast, Steven"
"Rooney, Sally *"
"Lewis, C.S."
"Steinem, Gloria"
"Nkrumah, Kwame"
"Service, Robert"
"Trotsky, Leon"
"Deutscher, Isaac"
"Reed, Ishmael"
"Williams, Tennessee"
"Pierce, Todd O"
"Carver, Raymond"
"Wang, Esmé Weijun"
"Ahmed, Sara *"
"Gray, Dave *"
"James, William"
"Kierkegaard, Søren"
"Malcolm, Norman"
"Wittgenstein, Ludwig"
"Monk, Ray"
"Hanks, Kurt"
"Heinlein, Robert A."
"Schopenhauer, Arthur"
"Genet, Jean"
"Glück, Louise"
Confucius
"Greene, Robert *"
"Ishiguro, Kazuo *"
"Roth, Philip"
"Browning, Robert"
"Hardy, Darren *"
"Milton, Giles"
"Allen, Tom"
"Demaus, Robert"
"Waterman, T.J."
"Paine, Thomas"
"Russell, Bertrand"
"Bruno, Giordano"
"Diouf, Sylviane A."
"White, Timothy"
"Marley, Bob"
"Hauser, Thomas"
"James, C.L.R."
"Campbell, Horace"
"Rodney, Walter"
"Hesse, Hermann"
"Robinson, Ken"
"Beauvoir, Simone de"
"Leblanc, Maurice"
"Nagoski, Emily *"
"Neruda, Pablo"
"Michels, Rinus"
"Ellison, Ralph"
"London, Jack"
"Pirog, Nick *"
"Bond, Becky"
"Adams, Martin *"
"Mason, Paul"
"Sayer, Andrew"
"Marshall, George *"
"Greenway, Alice"
"Lee, Janice Y.K."
"Lanchester, John"
"Mo, Timothy"
"Booth, Martin"
"Mason, Richard"
"Clavell, James"
"le Carré, John"
"Watson, Paul"
"Conroy, Pat"
"Monbiot, George"
"Shere, Jeremy"
"Lovins, Amory B."
"Brown, Lester R."
Sun Tzu
"Menary, Steve *"
"Nin, Anaïs"
"Miller, Henry"
"Bavidge, Michael"
"Pynchon, Thomas"
"Fisher, Mark"
Aristotle
"Siffre, Labi"
"Shah, Neema *"
"Isherwood, Christopher"
"Criado Pérez, Caroline"
"Okwonga, Musa"
"Shepherd, Richard"
"Nesbø, Jo *"
"Herbert, Frank"
"Baraka, Imamu Amiri"
"Baraka, Amiri"
"Benefits, Shammah"
"Tejwani, Karan"
"Murdoch, Iris"
"Müller, Herta"
"Ellams, Inua *"
"Sartre, Jean-Paul"
"Bezdrob, Anné Mariè du Preez"
"Niebuhr, Reinhold"
Rawls
"Lake, Deryn *"
"Rawls, John"
"Barthes, Roland"
"Wainaina, Binyavanga"
"Berardi, Franco ""Bifo"""
"Williams, Saul"
"Mengiste, Maaza"
"Sissay, Lemn"
"Philip, M. NourbeSe"
"Cone, James H."
"Wilson, Jonathan"
"Cox, Michael"
"Stoker, Bram"
"Sienkiewicz, Bill"
"Babalola, Bolu"
"Nhambu, Maria *"
"Choo, Yangsze *"
"Braithwaite, Oyinkan *"
"Aciman, André *"
"Rum, Etaf *"
"Vanderah, Glendy"
"Smith, Zadie"
"Camus, Albert"
"Kafka, Franz"
Homer
"Tennyson, Alfred"
"Crane, Stephen"
"Tocqueville, Alexis de"
"Sergel, Christopher"
"Lee, Li-Young"
"Ngân, Nguyễn Thiên"
"Thiện, Nguyễn Chí"
"Mandela, Winnie"
"Brown, Brené *"
"Bennett, Brit *"
"Bergkamp, Dennis"
"Winner, David"
"Fanon, Frantz"
"Lawrence, Amy"
"Davis, Angela Y."
"Bello, Mary"
"Shukla, Nikesh *"
"El Saadawi, Nawal"
"Tutuola, Amos"
"Kaufman, Bob"
"Balzac, Honoré de"
"Chomsky, Noam"
Akala
"Bradbury, Ray"
"Romulo, Carlos P."
"Hosseini, Khaled *"
"Carty-Williams, Candice *"
"Coetzee, J.M."
"Ōe, Kenzaburō"
laurie-lee
"Lee, Laurie"
"Yokomizo, Seishi"
"Tippett, James"
"Baldwin, James"
"Beard, Mary"
"Krakauer, Jon *"
"Brooks, Max *"
"Collier, Paul"
"Gladwell, Malcolm"
"Kahneman, Daniel"
"Adichie, Chimamanda Ngozi"
"Newton, Huey P."
"Seale, Bobby"
"Anderson, Jon Lee"
"Rankine, Claudia"
"Goffe, Leslie Gordon"
"Scott-Heron, Gil"
"Baram, Marcus *"
"Hurston, Zora Neale"
"Thompson, Ahmir Questlove"
"Rich, Adrienne"
"X, Malcolm"
"Haas, Jeffrey"
"Shakur, Assata"
"Biermann, Christoph"
"Moore, Carlos"
"Zusak, Markus *"
"Eddo-Lodge, Reni"
